90,10,0.1,2.5,0.014286,0.034202
90,30,1,2,0.028986,0.034202
70,10,1,4,0.019048,0.031381
70,30,0.1,2,0.024155,0.041841
50,10,10,2,0.014538,0.028123
50,30,0.1,2.5,0.020468,0.026921
